i, j, dm, x, s, t, u, v, n, e, s, w, p, d
0, 0, 8, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 8, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 8, 0, 1, 0, 0, 0, 0, -0.3, 0, 0, 0, 0
0, 0, 8, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 8, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 8, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 8, 0, 1, 1, 0, 0, 0, -1.206394, -1.182102, 0, 0, 0
0, 0, 8, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 8, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 8, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 8, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 8, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 8, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 8, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 8, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 8, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 8, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 8, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 8, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 8, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 8, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 8, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 6
0, 0, 8, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 8, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, -0.3, 0, 0, 0
0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 0, 1, 0, 0, 0, 0, -0.372, -0.3, 0, 0
0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 1, 0, 0, 0, 0, -0.3, 0, 0, 0, 0
0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 4.70412, 0, 0
0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 2, 0, 0, 0, 0, 0, 0, 0, -0.3, 0, 0, 0
0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
